Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL,Opening Hours,Popular Dishes,Detailed Address
Trestle,Astoria,"Cocktail Bars, American (New), Breakfast & Brunch",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/trestle-astoria?osq=Restaurants,https://www.yelp.com/reservations/trestle-astoria,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: Closed, Tue: Closed, Wed: 4:00 PM - 2:00 AM (Next day), Thu: 4:00 PM - 2:00 AM (Next day), Fri: 12:00 PM - 2:00 AM (Next day), Sat: 10:00 AM - 2:00 AM (Next day), Sun: 10:00 AM - 2:00 AM (Next day)",,"34-02 BroadwayAstoria, NY 11106"
Triangolo Restaurant,Corona,"Italian, Tapas/Small Plates",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/triangolo-restaurant-corona-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: Closed, Tue: 4:00 PM - 10:00 PM, Wed: 4:00 PM - 10:00 PM, Thu: 4:00 PM - 10:00 PM, Fri: 4:00 PM - 11:00 PM, Sat: 4:00 PM - 11:00 PM, Sun: 4:00 PM - 10:00 PM","Vongole Oreganata - Baked Clams, Veal Alla Grappa - Signature Dish, Homemade Panna Cotta, Polpette Di Pollo - Chicken Meatballs, Calamari Alla Griglia - Grilled Calamari, Chicken Frangelico - Signature Dish, Linguini Frutti Di Mare","96-01 Corona AveCorona, NY 11368"
Himitsu,Murray Hill,"Sushi Bars, Japanese, Thai",4.9,,,https://www.yelp.com/biz/himitsu-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: Closed, Tue: Closed, Wed: Closed, Thu: 7:15 AM - 8:15 PM, Fri: 7:15 AM - 8:15 PM, Sat: 7:15 AM - 8:15 PM, Sun: 7:15 AM - 8:15 PM",,"15702 Northern BlvdQueens, NY 11354"
Mito,Forest Hills,"Japanese, Sushi Bars, Asian Fusion",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/mito-forest-hills?osq=Restaurants,https://www.yelp.com/biz/S1yH5vdJh2L2UIb7zJ2OHg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: 11:30 AM - 11:00 PM, Tue: 11:30 AM - 11:00 PM, Wed: 11:30 AM - 11:00 PM, Thu: 11:30 AM - 11:00 PM, Fri: 11:00 AM - 12:00 AM (Next day), Sat: 11:00 AM - 12:00 AM (Next day), Sun: 12:00 PM - 11:00 PM","Shrimp Tempura Roll, Duck Roll Appetizer, Rapunzel Hair Roll, Rock Shrimp Appetizer, Tuna Roll, Avocado Roll, Salmon Avocado Roll, Golden State Roll, Spicy Tuna Roll, Chicken Lettuce Wrap Appetizer, Chicken Teriyaki Dinner, Yellowtail, Spicy Tuna Avocado Salad, Pork Gyoza Appetizer, Sushi Pizza Appetizer, California Roll, Spicy Salmon Roll, Chilean Sea Bass, Fire Island Roll, Salmon Roll","64-18 108th StForest Hills, NY 11375"
Bricklane Curry House,Sunnyside,Indian,5.0,"not allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/bricklane-curry-house-queens-2?osq=Restaurants,https://www.yelp.com/biz/aqqryBys95aNjYqri9OmJg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: 11:30 AM - 11:00 PM, Tue: 11:30 AM - 11:00 PM, Wed: 11:30 AM - 11:00 PM, Thu: 11:30 AM - 11:00 PM, Fri: 11:30 AM - 11:00 PM, Sat: 11:30 AM - 11:00 PM, Sun: 11:30 AM - 11:00 PM",,"40-05 Skillman AveK-109Queens, NY 11104"
Daesung Korean Noodle,Murray Hill,"Korean, Soup, Noodles",4.5,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/daesung-korean-noodle-flushing-2?osq=Restaurants,https://www.yelp.com/biz/3nvwvbbkJN2Cyp1VUuG6rA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: 11:00 AM - 9:15 PM, Tue: 11:00 AM - 9:15 PM, Wed: 11:00 AM - 9:15 PM, Thu: 11:00 AM - 9:15 PM, Fri: 11:00 AM - 9:15 PM, Sat: 11:00 AM - 9:15 PM, Sun: Closed","Spice Tofu Noodles Soup, Bonito Flake Seafood Pajeon, Wide Noodles, Long Noodles, Seafood Oko, Haemul Oko Pajun, Hand Pulled Noodles, Fried Dumplings, Beef Bulgogi, Fusion Oko Pajeon, Cold Noodles, Bibim Guksu, Soondubu Kalguksu, Hot Tofu Stew, Seafood Noodle Soup, Steamed Dumplings, Bulgogi Soondubu Sujebi, Haemul Pajeon, Seafood Kalguksu, Clam Kalguksu","45-04 162nd StFlushing, NY 11358"
Kalye Bistro,Woodside,"Filipino, Comfort Food, Seafood",4.5,allow Outdoor seating,,https://www.yelp.com/biz/kalye-bistro-woodside?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,"Mon: 11:30 AM - 10:00 PM, Tue: 11:30 AM - 10:00 PM, Wed: 11:30 AM - 10:00 PM, Thu: 11:30 AM - 10:00 PM, Fri: 11:30 AM - 10:00 PM, Sat: 10:30 AM - 10:00 PM, Sun: 11:30 AM - 10:00 PM","Palabok Overload, Shanghai, Lechon Kawali, Bagnet Express, Beef Pares with Bone Marrow, Iskrambol, Kare Kare Bagnet, Crispy Pata, Bangus Sisig, Tofu Sisig, Ginataang Sitaw Kalabasa, Tortang Talong","39-06 64th StWoodside, NY 11377"
Fabrika,Jackson Heights,"Seafood, Cocktail Bars",4.3,"allow Outdoor seating, not allow Delivery, allow Takeout",$31-60,https://www.yelp.com/biz/fabrika-jackson-heights-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: Closed, Tue: 5:00 PM - 2:00 AM (Next day), Wed: 5:00 PM - 2:00 AM (Next day), Thu: 5:00 PM - 2:00 AM (Next day), Fri: 5:00 PM - 4:00 AM (Next day), Sat: 5:00 PM - 4:00 AM (Next day), Sun: 1:00 PM - 2:00 AM (Next day)","Churrasco, Arepitas De Pollo, Pagaito De Tuna, Pudin De Pan, Frito Mixto, Grilled Octopus, Skirt Steak, Prefixed, Branzino","80-24 Northern Blvd.Jackson Heights, NY 11372"
Cabana,Forest Hills,"Latin American, Cuban, Caribbean",3.9,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/cabana-forest-hills?osq=Restaurants,https://www.yelp.com/biz/gEEqoeSekTOjRVmyY4fplA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: 11:30 AM - 11:00 PM, Tue: 11:30 AM - 11:00 PM, Wed: 11:30 AM - 11:00 PM, Thu: 11:30 AM - 11:00 PM, Fri: 11:30 AM - 11:00 PM, Sat: 11:30 AM - 11:00 PM, Sun: 11:30 AM - 11:00 PM","Ropa Vieja, Churrasco, Empanadas, Tostones, Arroz Con Pollo, Tostones Rellenos, Tres Leches, Chicharrones De Pollo, Maduros, Pollo Con Camarones, Paella Marinera, Flan, Paella Valenciana, La Playa Ensalada, Mariquitas, Pollo Al Ajillo, Bocadillos, Picadillo, Cubano","107-10 70th RdForest Hills, NY 11375"
White Radish,Forest Hills,"American (New), Diners, Wine Bars",3.8,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/white-radish-forest-hills?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: 12:00 PM - 10:00 PM, Tue: 12:00 PM - 10:00 PM, Wed: 12:00 PM - 10:00 PM, Thu: 12:00 PM - 10:00 PM, Fri: 12:00 PM - 10:00 PM, Sat: 11:00 AM - 10:00 PM, Sun: 11:00 AM - 10:00 PM","Oysters, Oxtail Croquettes, Short Ribs Ravioli, Calamari, Lobster Roll, Mixed Seafood Tagliatelle, Radishes & Burrata Salad, Charred Octopus, 5 Baked Oysters, Steak Panini, Branzino, Duck 2 Ways, Pork Belly Slider, Chicken Milanese Sandwich, Crab Cake, Ceviche, Lobster Ravioli, 8 Oz. Filet Mignon, Orange Cake, Roasted Cauliflower","108-25 Ascan AveForest Hills, NY 11375"
Kitchen 79,,Thai,4.3,"not allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/kitchen-79-jackson-heights?osq=Restaurants,https://www.yelp.com/biz/3GMHPnrkFAcqffw3T7JSdQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: 11:30 AM - 4:00 PM 5:00 PM - 10:00 PM, Tue: 11:30 AM - 4:00 PM 5:00 PM - 10:00 PM, Wed: 11:30 AM - 4:00 PM 5:00 PM - 10:00 PM, Thu: 11:30 AM - 4:00 PM 5:00 PM - 10:00 PM, Fri: 11:30 AM - 4:00 PM 5:00 PM - 10:00 PM, Sat: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM, Sun: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM","Pad Thai, Green Curry, Spring Roll, Tom Yum, Roasted Duck Noodle Soup, Pineapple Fried Rice, Papaya Salad, Spicy Creamy Seafood Tom Yum Soup, Red Curry, Fried Calamari, Basil Fried Rice, Pad Woon Sen, Crab Rangoon, Khao Soi Kai, Crab Fried Rice, Panang Curry, Pad Kee Mau, Fried Tofu, Tom Kha, Soft Shell Crab Pad Pong Karee","37-70 79th StJackson Heights, NY 11372"
Mad For Chicken - Forest Hills,Forest Hills,"Korean, Chicken Wings, Beer, Wine & Spirits",4.0,"not allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/mad-for-chicken-forest-hills-forest-hills?osq=Restaurants,https://www.yelp.com/biz/IwmUnAhFgDfu6zgYxhbXJA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: 12:00 PM - 11:30 PM, Tue: 12:00 PM - 11:30 PM, Wed: 12:00 PM - 11:30 PM, Thu: 12:00 PM - 11:30 PM, Fri: 12:00 PM - 12:30 AM (Next day), Sat: 11:00 AM - 12:30 AM (Next day), Sun: 11:00 AM - 11:30 PM","Bulgogi Bowl, Crispy Chicken Bowl, Kimchi Bowl","71-37 Austin StForest Hills, NY 11375"
Don Peppe,Ozone Park,"Italian, Desserts, Seafood",4.0,allow Takeout,$31-60,https://www.yelp.com/biz/don-peppe-south-ozone-park-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: Closed, Tue: 12:00 PM - 9:30 PM, Wed: 12:00 PM - 9:30 PM, Thu: 12:00 PM - 9:30 PM, Fri: 12:00 PM - 9:30 PM, Sat: 12:00 PM - 9:30 PM, Sun: 1:00 PM - 8:00 PM","Baked Clams, Shrimp Luciano, Stuffed Artichokes, Stuffed Mushrooms, Cannoli, Breast Of Chicken Marsala, Chicken Scarpariello, Veal Parmigiana, Baked Ziti, Mozzarella And Tomatoes","135-58 Lefferts BlvdSouth Ozone Park, NY 11420"
The Beast Next Door,Long Island City,"American (New), Tapas/Small Plates, Wine Bars",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/the-beast-next-door-long-island-city-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,"Mon: 4:00 PM - 12:00 AM (Next day), Tue: 4:00 PM - 12:00 AM (Next day), Wed: 4:00 PM - 12:00 AM (Next day), Thu: 4:00 PM - 12:00 AM (Next day), Fri: 4:00 PM - 2:00 AM (Next day), Sat: 4:00 PM - 2:00 AM (Next day), Sun: 4:00 PM - 12:00 AM (Next day)","Smoked Duck, The Toasted Daniele, Meat and Cheese Platters","42-51 27th StLong Island City, NY 11101"
Nangma Restaurant,Elmhurst,"Asian Fusion, Himalayan/Nepalese, Szechuan",4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/nangma-restaurant-elmhurst?osq=Restaurants,https://www.yelp.com/biz/sllXrDi-eKiwZJTWtNKaTg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=30,"Mon: 11:00 AM - 11:00 PM, Tue: 11:00 AM - 11:00 PM, Wed: 11:00 AM - 11:00 PM, Thu: 11:00 AM - 11:00 PM, Fri: 11:00 AM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 11:00 PM","Momo, Mapo Tofu, Beef and Tripe in Chili Oil Lunch, Thentuk, Shapaley, Chong Qing Chili Chicken, Beef Shapta, Broiled Whole Fish with Spicy Sauce Lunch, Egg Drop Soup Lunch, Spicy Ping, Chow Mein","83-17 BroadwayElmhurst, NY 11373"
Jora Restaurant & Bar,Hunters Point,"Peruvian, Cocktail Bars",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",$31-60,https://www.yelp.com/biz/jora-restaurant-and-bar-long-island-city?osq=Restaurants,https://www.yelp.com/biz/Sj3JYCbaEFrAqUzRrenQbg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=30,"Mon: 12:30 PM - 10:00 PM, Tue: 12:30 PM - 10:00 PM, Wed: 12:30 PM - 10:00 PM, Thu: 12:30 PM - 10:00 PM, Fri: 12:30 PM - 10:00 PM, Sat: 12:30 PM - 10:00 PM, Sun: 12:30 PM - 10:00 PM",,"47-46 11th StLong Island City, NY 11101"
Rincon Criollo,North Corona,Cuban,4.3,not allow Outdoor seating,$11-30,https://www.yelp.com/biz/rincon-criollo-corona?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=30,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=30,"Mon: 12:00 PM - 9:00 PM, Tue: 12:00 PM - 9:00 PM, Wed: 12:00 PM - 9:00 PM, Thu: 12:00 PM - 9:00 PM, Fri: 12:00 PM - 10:00 PM, Sat: 12:00 PM - 10:00 PM, Sun: 11:00 AM - 9:00 PM","Cuban Sandwich, Pork Chops, Plantain Chips, Tres Leches Cake, Oxtail Stew, Fried Pork Chunks, Codfish Fritters, Fried Shredded Flank Steak, Ham Croquettes, Roasted Pork, Breaded Chicken Breast, Breaded Pork Steak, Ground Beef Stew","40-09 Junction BlvdCorona, NY 11368"
The Queensboro,Jackson Heights,"Gastropubs, American (New), Breakfast & Brunch",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/the-queensboro-jackson-heights?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=30,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=30,"Mon: Closed, Tue: 9:00 AM - 9:00 PM, Wed: 9:00 AM - 9:00 PM, Thu: 9:00 AM - 9:00 PM, Fri: 9:00 AM - 9:30 PM, Sat: 11:00 AM - 9:30 PM, Sun: 10:30 AM - 8:30 PM",,"80-02 Northern BlvdJackson Heights, NY 11372"
